id,DayOfWeek,Date,Sales,Customers,Open,Promo,SchoolHoliday,High_Var,Luxury
1,2,1/1/13,0,0,0,0,1,0,1
1,3,1/2/13,5530,668,1,0,1,0,1
1,4,1/3/13,4327,578,1,0,1,0,1
1,5,1/4/13,4486,619,1,0,1,0,1
1,6,1/5/13,4997,635,1,0,1,0,1
1,7,1/6/13,0,0,0,0,1,0,1
1,1,1/7/13,7176,785,1,1,1,0,1
1,2,1/8/13,5580,654,1,1,1,0,1
1,3,1/9/13,5471,626,1,1,1,0,1
1,4,1/10/13,4892,615,1,1,1,0,1
1,5,1/11/13,4881,592,1,1,1,0,1
1,6,1/12/13,4952,646,1,0,0,0,1
1,7,1/13/13,0,0,0,0,0,0,1
1,1,1/14/13,4717,616,1,0,0,0,1
1,2,1/15/13,3900,512,1,0,0,0,1
1,3,1/16/13,4008,530,1,0,0,0,1
1,4,1/17/13,4044,503,1,0,0,0,1
1,5,1/18/13,4127,568,1,0,0,0,1
1,6,1/19/13,5182,688,1,0,0,0,1
1,7,1/20/13,0,0,0,0,0,0,1
1,1,1/21/13,5394,607,1,1,0,0,1
1,2,1/22/13,5720,667,1,1,0,0,1
1,3,1/23/13,5578,627,1,1,0,0,1
1,4,1/24/13,5195,645,1,1,0,0,1
1,5,1/25/13,5586,676,1,1,0,0,1
1,6,1/26/13,5598,640,1,0,0,0,1
1,7,1/27/13,0,0,0,0,0,0,1
1,1,1/28/13,4055,549,1,0,0,0,1
1,2,1/29/13,3725,522,1,0,0,0,1
1,3,1/30/13,4601,560,1,0,0,0,1
1,4,1/31/13,4709,571,1,0,0,0,1
1,5,2/1/13,5633,658,1,0,0,0,1
1,6,2/2/13,5970,701,1,0,0,0,1
1,7,2/3/13,0,0,0,0,0,0,1
1,1,2/4/13,7032,762,1,1,0,0,1
1,2,2/5/13,6049,678,1,1,0,0,1
1,3,2/6/13,6140,693,1,1,0,0,1
1,4,2/7/13,5499,675,1,1,0,0,1
1,5,2/8/13,5681,630,1,1,0,0,1
1,6,2/9/13,5370,656,1,0,0,0,1
1,7,2/10/13,0,0,0,0,0,0,1
1,1,2/11/13,4409,599,1,0,0,0,1
1,2,2/12/13,4015,572,1,0,0,0,1
1,3,2/13/13,4252,604,1,0,0,0,1
1,4,2/14/13,4241,573,1,0,0,0,1
1,5,2/15/13,4809,607,1,0,0,0,1
1,6,2/16/13,6154,682,1,0,0,0,1
1,7,2/17/13,0,0,0,0,0,0,1
1,1,2/18/13,6407,710,1,1,0,0,1
1,2,2/19/13,5386,608,1,1,0,0,1
